fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
1,2024-01-01 00:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-14 14:00:00+00:00,2025-03-21 13:00:00+00:00,10526,168,168,117567.37936987648,162669.13295610275,7.363216940200698,0.6632307411546756,seasonal_naive_lag_24
2,2024-01-01 00:00:00+00:00,2025-03-21 13:00:00+00:00,2025-03-21 14:00:00+00:00,2025-03-28 13:00:00+00:00,10694,168,168,103223.32028376192,152954.72901771343,6.585619088427605,0.6163699080200686,seasonal_naive_lag_24
3,2024-01-01 00:00:00+00:00,2025-03-28 13:00:00+00:00,2025-03-28 14:00:00+00:00,2025-04-04 13:00:00+00:00,10862,168,168,121285.00387226786,171020.42838655945,9.118405421100404,0.4834318399983425,seasonal_naive_lag_24
4,2024-01-01 00:00:00+00:00,2025-04-04 13:00:00+00:00,2025-04-04 14:00:00+00:00,2025-04-11 13:00:00+00:00,11030,168,168,88747.21265153422,146018.5204318561,6.376682208480193,0.48796243287095686,seasonal_naive_lag_24
5,2024-01-01 00:00:00+00:00,2025-04-11 13:00:00+00:00,2025-04-11 14:00:00+00:00,2025-04-18 13:00:00+00:00,11198,168,168,134247.47964919644,188775.10951163704,9.489746405559226,0.38587140122674746,seasonal_naive_lag_24
6,2024-01-01 00:00:00+00:00,2025-04-18 13:00:00+00:00,2025-04-18 14:00:00+00:00,2025-04-25 13:00:00+00:00,11366,168,168,109193.75634636311,151288.58683362056,8.016191190333261,0.4443972184836126,seasonal_naive_lag_24
7,2024-01-01 00:00:00+00:00,2025-04-25 13:00:00+00:00,2025-04-25 14:00:00+00:00,2025-05-02 13:00:00+00:00,11534,168,168,281558.0383780774,483018.06588302815,183.84292770170023,-0.9629794335010453,seasonal_naive_lag_24
8,2024-01-01 00:00:00+00:00,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,2025-05-09 13:00:00+00:00,11702,168,168,82988.2860007887,122874.54753010614,6.131307096193195,0.5716244930324667,seasonal_naive_lag_24
9,2024-01-01 00:00:00+00:00,2025-05-09 13:00:00+00:00,2025-05-09 14:00:00+00:00,2025-05-16 13:00:00+00:00,11870,168,168,94730.84447886459,146290.2692937851,6.9542884245940035,0.4265531915797106,seasonal_naive_lag_24
10,2024-01-01 00:00:00+00:00,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,2025-05-23 13:00:00+00:00,12038,168,168,79321.52740762204,124899.41383708552,5.917137307651883,0.5120796278689959,seasonal_naive_lag_24
11,2024-01-01 00:00:00+00:00,2025-05-23 13:00:00+00:00,2025-05-23 14:00:00+00:00,2025-05-30 13:00:00+00:00,12206,168,168,86704.8136194613,132116.90158346845,6.3966527815846845,0.5523934191996211,seasonal_naive_lag_24
12,2024-01-01 00:00:00+00:00,2025-05-30 13:00:00+00:00,2025-05-30 14:00:00+00:00,2025-06-06 13:00:00+00:00,12374,168,168,84814.09360624703,123568.31332941653,6.096519326006086,0.5281697935134448,seasonal_naive_lag_24
13,2024-01-01 00:00:00+00:00,2025-06-06 13:00:00+00:00,2025-06-06 14:00:00+00:00,2025-06-13 13:00:00+00:00,12542,168,168,126440.57667147767,171506.2180383552,9.109698299861886,0.1924260345550094,seasonal_naive_lag_24
14,2024-01-01 00:00:00+00:00,2025-06-13 13:00:00+00:00,2025-06-13 14:00:00+00:00,2025-06-20 13:00:00+00:00,12710,168,168,148311.8681810595,195213.2421330003,10.557874883221194,0.2199075975124799,seasonal_naive_lag_24
15,2024-01-01 00:00:00+00:00,2025-06-20 13:00:00+00:00,2025-06-20 14:00:00+00:00,2025-06-27 13:00:00+00:00,12878,168,168,109609.58024770982,151843.57476525643,7.488170307903388,0.4331959589524246,seasonal_naive_lag_24
16,2024-01-01 00:00:00+00:00,2025-06-27 13:00:00+00:00,2025-06-27 14:00:00+00:00,2025-07-04 13:00:00+00:00,13046,168,168,95844.37098070687,148827.0162581568,5.9846724559839855,0.5400146706447747,seasonal_naive_lag_24
17,2024-01-01 00:00:00+00:00,2025-07-04 13:00:00+00:00,2025-07-04 14:00:00+00:00,2025-07-11 13:00:00+00:00,13214,168,168,114876.40004891073,164057.49179876118,7.588611563899751,0.3504573761283537,seasonal_naive_lag_24
18,2024-01-01 00:00:00+00:00,2025-07-11 13:00:00+00:00,2025-07-11 14:00:00+00:00,2025-07-18 13:00:00+00:00,13382,168,168,102161.31598852233,155619.54892071476,7.142529838279349,0.3949003898609398,seasonal_naive_lag_24
19,2024-01-01 00:00:00+00:00,2025-07-18 13:00:00+00:00,2025-07-18 14:00:00+00:00,2025-07-25 13:00:00+00:00,13550,168,168,96462.91406835863,140237.38575745793,6.899897005986262,0.4394137859404226,seasonal_naive_lag_24
20,2024-01-01 00:00:00+00:00,2025-07-25 13:00:00+00:00,2025-07-25 14:00:00+00:00,2025-08-01 13:00:00+00:00,13718,168,168,94459.22317144195,141071.54114896862,6.3817586879705,0.6127529802704537,seasonal_naive_lag_24
21,2024-01-01 00:00:00+00:00,2025-08-01 13:00:00+00:00,2025-08-01 14:00:00+00:00,2025-08-08 13:00:00+00:00,13886,168,168,103177.41578356698,146284.57918812282,6.702689816737095,0.5179043989805109,seasonal_naive_lag_24
22,2024-01-01 00:00:00+00:00,2025-08-08 13:00:00+00:00,2025-08-08 14:00:00+00:00,2025-08-15 13:00:00+00:00,14054,168,168,94617.32386590625,135683.7482543799,6.389291435760791,0.6128233986227982,seasonal_naive_lag_24
23,2024-01-01 00:00:00+00:00,2025-08-15 13:00:00+00:00,2025-08-15 14:00:00+00:00,2025-08-22 13:00:00+00:00,14222,168,168,52776.388785812494,87382.85245589801,3.7839667189958623,0.6943172353229443,seasonal_naive_lag_24
24,2024-01-01 00:00:00+00:00,2025-08-22 13:00:00+00:00,2025-08-22 14:00:00+00:00,2025-08-29 13:00:00+00:00,14390,168,168,68792.11778674404,101170.96757818856,5.0275196281498475,0.6465669426924608,seasonal_naive_lag_24
25,2024-01-01 00:00:00+00:00,2025-08-29 13:00:00+00:00,2025-08-29 14:00:00+00:00,2025-09-05 13:00:00+00:00,14558,168,168,82623.71541274106,114540.31435992535,5.807490146744118,0.6359345366253396,seasonal_naive_lag_24
26,2024-01-01 00:00:00+00:00,2025-09-05 13:00:00+00:00,2025-09-05 14:00:00+00:00,2025-09-12 13:00:00+00:00,14726,168,168,87222.44457586012,123652.2333681089,6.087261050869757,0.6049195476842061,seasonal_naive_lag_24
27,2024-01-01 00:00:00+00:00,2025-09-12 13:00:00+00:00,2025-09-12 14:00:00+00:00,2025-09-19 13:00:00+00:00,14894,168,168,90463.59470954463,144295.80781994184,6.347237771223388,0.539031634542143,seasonal_naive_lag_24
28,2024-01-01 00:00:00+00:00,2025-09-19 13:00:00+00:00,2025-09-19 14:00:00+00:00,2025-09-26 13:00:00+00:00,15062,168,168,94705.963353314,145410.157211065,6.907839553605949,0.45611355202657256,seasonal_naive_lag_24
29,2024-01-01 00:00:00+00:00,2025-09-26 13:00:00+00:00,2025-09-26 14:00:00+00:00,2025-10-03 13:00:00+00:00,15230,168,168,75949.31425785266,116596.3682226113,5.359482753291702,0.6288278464716802,seasonal_naive_lag_24
30,2024-01-01 00:00:00+00:00,2025-10-03 13:00:00+00:00,2025-10-03 14:00:00+00:00,2025-10-10 13:00:00+00:00,15398,168,168,125413.08155291667,172507.3287766203,9.489320207510408,0.4283225328827964,seasonal_naive_lag_24
31,2024-01-01 00:00:00+00:00,2025-10-10 13:00:00+00:00,2025-10-10 14:00:00+00:00,2025-10-17 13:00:00+00:00,15566,122,168,110525.70694338524,165620.4351079115,8.239252106585997,0.4648301597822787,seasonal_naive_lag_24
32,2024-01-01 00:00:00+00:00,2025-10-17 13:00:00+00:00,2025-10-17 14:00:00+00:00,2025-10-24 13:00:00+00:00,15734,168,168,111742.85998446282,158340.84376301724,8.098697266601818,0.5607700384595784,seasonal_naive_lag_24
33,2024-01-01 00:00:00+00:00,2025-10-24 13:00:00+00:00,2025-10-24 14:00:00+00:00,2025-10-31 13:00:00+00:00,15902,166,168,111057.24449160091,154600.154004435,7.9049867352505,0.5958652643587106,seasonal_naive_lag_24
34,2024-01-01 00:00:00+00:00,2025-10-31 13:00:00+00:00,2025-10-31 14:00:00+00:00,2025-11-07 13:00:00+00:00,16070,168,168,108863.31381423514,158148.90407330444,7.462261229443054,0.6374220008886806,seasonal_naive_lag_24
35,2024-01-01 00:00:00+00:00,2025-11-07 13:00:00+00:00,2025-11-07 14:00:00+00:00,2025-11-14 13:00:00+00:00,16238,168,168,107845.3434761399,174081.5681006885,7.226022887207311,0.6337939971099589,seasonal_naive_lag_24
36,2024-01-01 00:00:00+00:00,2025-11-14 13:00:00+00:00,2025-11-14 14:00:00+00:00,2025-11-21 13:00:00+00:00,16406,168,168,98901.84525543304,146458.74139506114,6.385970433813575,0.7164255502843085,seasonal_naive_lag_24
37,2024-01-01 00:00:00+00:00,2025-11-21 13:00:00+00:00,2025-11-21 14:00:00+00:00,2025-11-28 13:00:00+00:00,16574,168,168,90937.44861369791,144695.52693981864,5.391677209476095,0.7581378999517672,seasonal_naive_lag_24
38,2024-01-01 00:00:00+00:00,2025-11-28 13:00:00+00:00,2025-11-28 14:00:00+00:00,2025-12-05 13:00:00+00:00,16742,168,168,118134.23138232589,166184.6810860629,7.0620199920099855,0.7425215828449374,seasonal_naive_lag_24
39,2024-01-01 00:00:00+00:00,2025-12-05 13:00:00+00:00,2025-12-05 14:00:00+00:00,2025-12-12 13:00:00+00:00,16910,168,168,141426.37453891817,194937.84470990158,8.27273137462649,0.6104954917353057,seasonal_naive_lag_24
40,2024-01-01 00:00:00+00:00,2025-12-12 13:00:00+00:00,2025-12-12 14:00:00+00:00,2025-12-19 13:00:00+00:00,17078,168,168,139085.19080055953,234389.33514069568,8.049267574830951,0.5208459677278353,seasonal_naive_lag_24
41,2024-01-01 00:00:00+00:00,2025-12-19 13:00:00+00:00,2025-12-19 14:00:00+00:00,2025-12-26 13:00:00+00:00,17246,168,168,140203.2893621027,180247.3883750933,8.782222431911572,0.6582718005157273,seasonal_naive_lag_24
1,2024-01-01 00:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-14 14:00:00+00:00,2025-03-21 13:00:00+00:00,10525,168,168,55499.770789182265,69656.16701444586,3.466985012428118,0.9382493856112839,ridge
2,2024-01-01 00:00:00+00:00,2025-03-21 13:00:00+00:00,2025-03-21 14:00:00+00:00,2025-03-28 13:00:00+00:00,10693,168,168,56253.15215912851,68519.51805979208,3.5349914133620155,0.9230133455323862,ridge
3,2024-01-01 00:00:00+00:00,2025-03-28 13:00:00+00:00,2025-03-28 14:00:00+00:00,2025-04-04 13:00:00+00:00,10861,168,168,70294.46660895261,97618.4084978427,5.375319069379704,0.8316957434436608,ridge
4,2024-01-01 00:00:00+00:00,2025-04-04 13:00:00+00:00,2025-04-04 14:00:00+00:00,2025-04-11 13:00:00+00:00,11029,168,168,48531.89961047248,59069.06214935078,3.404396103723726,0.9162073183702594,ridge
5,2024-01-01 00:00:00+00:00,2025-04-11 13:00:00+00:00,2025-04-11 14:00:00+00:00,2025-04-18 13:00:00+00:00,11197,168,168,49565.36890300801,61005.70987662163,3.434322709826962,0.9358626768110319,ridge
6,2024-01-01 00:00:00+00:00,2025-04-18 13:00:00+00:00,2025-04-18 14:00:00+00:00,2025-04-25 13:00:00+00:00,11365,168,168,52093.91784607895,63311.961968316,3.7541900632454808,0.9026975842040537,ridge
7,2024-01-01 00:00:00+00:00,2025-04-25 13:00:00+00:00,2025-04-25 14:00:00+00:00,2025-05-02 13:00:00+00:00,11533,168,168,107047.18127605531,186656.7938079899,106.15876333638327,0.7068589739003766,ridge
8,2024-01-01 00:00:00+00:00,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,2025-05-09 13:00:00+00:00,11701,168,168,65361.76867506336,98202.73877695388,4.65158154788573,0.7263799183297361,ridge
9,2024-01-01 00:00:00+00:00,2025-05-09 13:00:00+00:00,2025-05-09 14:00:00+00:00,2025-05-16 13:00:00+00:00,11869,168,168,41634.613842719715,51962.63897827123,2.994909799788856,0.9276489797964806,ridge
10,2024-01-01 00:00:00+00:00,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,2025-05-23 13:00:00+00:00,12037,168,168,40007.025748295455,49848.13195084359,2.9101990491409295,0.9222812285378081,ridge
11,2024-01-01 00:00:00+00:00,2025-05-23 13:00:00+00:00,2025-05-23 14:00:00+00:00,2025-05-30 13:00:00+00:00,12205,168,168,38131.44635545309,47975.62035176908,2.7201385544316863,0.9409770514713226,ridge
12,2024-01-01 00:00:00+00:00,2025-05-30 13:00:00+00:00,2025-05-30 14:00:00+00:00,2025-06-06 13:00:00+00:00,12373,168,168,36341.48392540956,45883.79796621011,2.553809987034384,0.9349435709595635,ridge
13,2024-01-01 00:00:00+00:00,2025-06-06 13:00:00+00:00,2025-06-06 14:00:00+00:00,2025-06-13 13:00:00+00:00,12541,168,168,45082.66433716492,55076.29396525817,3.2803102640138184,0.916717838586458,ridge
14,2024-01-01 00:00:00+00:00,2025-06-13 13:00:00+00:00,2025-06-13 14:00:00+00:00,2025-06-20 13:00:00+00:00,12709,168,168,48944.86662788944,61360.80492579352,3.402832003931502,0.9229256988517784,ridge
