fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
1,2024-01-01 00:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-14 14:00:00+00:00,2025-03-21 13:00:00+00:00,10525,168,168,17925.579815043828,23514.40432165164,1.1022491673840118,0.9929629586920131,random_forest
2,2024-01-01 00:00:00+00:00,2025-03-21 13:00:00+00:00,2025-03-21 14:00:00+00:00,2025-03-28 13:00:00+00:00,10693,168,168,21822.889174516517,29263.394314663172,1.3565644316370127,0.9859577646792208,random_forest
3,2024-01-01 00:00:00+00:00,2025-03-28 13:00:00+00:00,2025-03-28 14:00:00+00:00,2025-04-04 13:00:00+00:00,10861,168,168,32414.623915717184,59591.41891413032,2.6068320823356395,0.9372810026815132,random_forest
4,2024-01-01 00:00:00+00:00,2025-04-04 13:00:00+00:00,2025-04-04 14:00:00+00:00,2025-04-11 13:00:00+00:00,11029,168,168,18161.06540538435,24332.939557555845,1.2444186643692452,0.9857808022844787,random_forest
5,2024-01-01 00:00:00+00:00,2025-04-11 13:00:00+00:00,2025-04-11 14:00:00+00:00,2025-04-18 13:00:00+00:00,11197,168,168,22499.746437876765,29222.001927447127,1.560692096147184,0.9852839996168765,random_forest
6,2024-01-01 00:00:00+00:00,2025-04-18 13:00:00+00:00,2025-04-18 14:00:00+00:00,2025-04-25 13:00:00+00:00,11365,168,168,26190.87699233497,35867.80330016133,1.902931453047257,0.9687707440084989,random_forest
7,2024-01-01 00:00:00+00:00,2025-04-25 13:00:00+00:00,2025-04-25 14:00:00+00:00,2025-05-02 13:00:00+00:00,11533,168,168,106917.63847814314,186627.76599874455,106.32034596336536,0.7069501420808584,lasso
8,2024-01-01 00:00:00+00:00,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,2025-05-09 13:00:00+00:00,11701,168,168,20985.870416207046,32580.825122136976,1.5139956503048744,0.9698820834398514,random_forest
9,2024-01-01 00:00:00+00:00,2025-05-09 13:00:00+00:00,2025-05-09 14:00:00+00:00,2025-05-16 13:00:00+00:00,11869,168,168,13857.320075189567,18143.602331779322,0.9812748901574211,0.9911791731258422,random_forest
10,2024-01-01 00:00:00+00:00,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,2025-05-23 13:00:00+00:00,12037,168,168,12579.476821145081,18142.110910343716,0.902881410927502,0.9897055348799801,random_forest
