hour,mae,observations
0,13820.016348659423,141
1,11606.984275765282,143
2,12960.908896642191,144
3,10272.59393422196,144
4,9191.352983033355,144
5,17805.075247433546,144
6,22189.01515830151,144
7,23414.819862194985,144
8,26112.642869735293,144
9,36484.70596718533,144
10,26950.519857429103,144
11,24009.70479872485,144
12,27080.397553962397,144
13,28077.502566740135,144
14,25139.97438997631,144
15,19093.672671299257,144
16,22580.90278663873,144
17,25031.797140503037,144
18,25771.90000904197,145
19,25364.371786319483,145
20,27134.270170512384,145
21,16413.668464457845,145
22,14693.698825056665,145
23,15500.96530151286,147
