fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
1,2024-01-01 00:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-14 14:00:00+00:00,2025-03-21 13:00:00+00:00,10526,168,168,728068.0573660714,949756.4294692482,67.62726745147319,-0.3910135238101109,seasonal_naive_lag_24
2,2024-01-01 00:00:00+00:00,2025-03-21 13:00:00+00:00,2025-03-21 14:00:00+00:00,2025-03-28 13:00:00+00:00,10694,168,168,447117.80608928576,575756.5063568351,48.72907145032905,0.24019512547954547,seasonal_naive_lag_24
3,2024-01-01 00:00:00+00:00,2025-03-28 13:00:00+00:00,2025-03-28 14:00:00+00:00,2025-04-04 13:00:00+00:00,10862,168,168,628140.9525208334,794607.6350957769,58.91343517820029,-0.49880720525086186,seasonal_naive_lag_24
4,2024-01-01 00:00:00+00:00,2025-04-04 13:00:00+00:00,2025-04-04 14:00:00+00:00,2025-04-11 13:00:00+00:00,11030,168,168,455848.40618749993,636129.1499499077,58.0107148320525,-1.4271162545995524,seasonal_naive_lag_24
5,2024-01-01 00:00:00+00:00,2025-04-11 13:00:00+00:00,2025-04-11 14:00:00+00:00,2025-04-18 13:00:00+00:00,11198,168,168,516747.58127083327,659282.84074687,46.86120564972229,-0.27167324738863985,seasonal_naive_lag_24
6,2024-01-01 00:00:00+00:00,2025-04-18 13:00:00+00:00,2025-04-18 14:00:00+00:00,2025-04-25 13:00:00+00:00,11366,168,168,441941.61305357143,594980.0600300041,51.205134558670466,0.24525849255562626,seasonal_naive_lag_24
7,2024-01-01 00:00:00+00:00,2025-04-25 13:00:00+00:00,2025-04-25 14:00:00+00:00,2025-05-02 13:00:00+00:00,11534,168,168,600094.3825267857,723802.0017970745,143.63384086672983,-1.2945798675080717,seasonal_naive_lag_24
8,2024-01-01 00:00:00+00:00,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,2025-05-09 13:00:00+00:00,11702,168,168,369167.9158928572,481767.255426749,55.338457783484486,-0.3628168490664321,seasonal_naive_lag_24
9,2024-01-01 00:00:00+00:00,2025-05-09 13:00:00+00:00,2025-05-09 14:00:00+00:00,2025-05-16 13:00:00+00:00,11870,168,168,246070.4025863095,307174.65499046975,27.641321929956575,-0.28167702945832174,seasonal_naive_lag_24
10,2024-01-01 00:00:00+00:00,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,2025-05-23 13:00:00+00:00,12038,168,168,212007.41927678572,294946.4443772621,31.79599974804468,-0.3124967616937562,seasonal_naive_lag_24
11,2024-01-01 00:00:00+00:00,2025-05-23 13:00:00+00:00,2025-05-23 14:00:00+00:00,2025-05-30 13:00:00+00:00,12206,168,168,190967.0765982143,255930.41117583428,36.89198176345345,-1.8763477751432442,seasonal_naive_lag_24
12,2024-01-01 00:00:00+00:00,2025-05-30 13:00:00+00:00,2025-05-30 14:00:00+00:00,2025-06-06 13:00:00+00:00,12374,168,168,198474.72107142856,267785.3084180529,24.57861622662387,0.19209218612383316,seasonal_naive_lag_24
13,2024-01-01 00:00:00+00:00,2025-06-06 13:00:00+00:00,2025-06-06 14:00:00+00:00,2025-06-13 13:00:00+00:00,12542,168,168,211813.29398809525,260447.296181108,35.10253470991011,-0.4442552118886307,seasonal_naive_lag_24
14,2024-01-01 00:00:00+00:00,2025-06-13 13:00:00+00:00,2025-06-13 14:00:00+00:00,2025-06-20 13:00:00+00:00,12710,168,168,253401.43000595237,311835.5768762558,39.004181471926245,-0.25408488307604027,seasonal_naive_lag_24
15,2024-01-01 00:00:00+00:00,2025-06-20 13:00:00+00:00,2025-06-20 14:00:00+00:00,2025-06-27 13:00:00+00:00,12878,168,168,287543.853172619,368709.84324380814,52.731236136959666,-1.6299012839502338,seasonal_naive_lag_24
16,2024-01-01 00:00:00+00:00,2025-06-27 13:00:00+00:00,2025-06-27 14:00:00+00:00,2025-07-04 13:00:00+00:00,13046,168,168,166493.56176488096,224307.8241003139,27.096410999502123,-0.10496815904600032,seasonal_naive_lag_24
17,2024-01-01 00:00:00+00:00,2025-07-04 13:00:00+00:00,2025-07-04 14:00:00+00:00,2025-07-11 13:00:00+00:00,13214,168,168,306774.54341964284,370748.0738115648,51.2552515667866,-0.316375409904337,seasonal_naive_lag_24
