fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
1,2024-01-01 00:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-14 14:00:00+00:00,2025-03-21 13:00:00+00:00,10525,168,168,62485.236559324236,85885.64522971687,5.405451426368792,0.9886250883198999,lasso
2,2024-01-01 00:00:00+00:00,2025-03-21 13:00:00+00:00,2025-03-21 14:00:00+00:00,2025-03-28 13:00:00+00:00,10693,168,168,63428.876971996244,83027.20315116925,6.0799391194814865,0.9841997054307968,gradient_boosting
3,2024-01-01 00:00:00+00:00,2025-03-28 13:00:00+00:00,2025-03-28 14:00:00+00:00,2025-04-04 13:00:00+00:00,10861,168,168,86923.11665571321,148282.38692754335,7.115805651304032,0.9478061369803968,ridge
4,2024-01-01 00:00:00+00:00,2025-04-04 13:00:00+00:00,2025-04-04 14:00:00+00:00,2025-04-11 13:00:00+00:00,11029,168,168,58141.70430776923,72274.32279471487,6.66871021470284,0.9686694479975989,ridge
5,2024-01-01 00:00:00+00:00,2025-04-11 13:00:00+00:00,2025-04-11 14:00:00+00:00,2025-04-18 13:00:00+00:00,11197,168,168,69572.3511605589,96569.23970941709,6.342197824670118,0.9727159011360467,ridge
6,2024-01-01 00:00:00+00:00,2025-04-18 13:00:00+00:00,2025-04-18 14:00:00+00:00,2025-04-25 13:00:00+00:00,11365,168,168,49994.703443923674,66354.68286727843,5.276107816265972,0.9906127892477212,lasso
7,2024-01-01 00:00:00+00:00,2025-04-25 13:00:00+00:00,2025-04-25 14:00:00+00:00,2025-05-02 13:00:00+00:00,11533,168,168,82742.11204392885,122152.71273145512,22.746832366020012,0.9346463495055257,ridge
8,2024-01-01 00:00:00+00:00,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,2025-05-09 13:00:00+00:00,11701,168,168,51384.32383920989,68898.56604072367,6.253206649697934,0.9721270264110746,lasso
9,2024-01-01 00:00:00+00:00,2025-05-09 13:00:00+00:00,2025-05-09 14:00:00+00:00,2025-05-16 13:00:00+00:00,11869,168,168,58797.34315434065,73492.88480423174,6.811394611191098,0.926633393354077,ridge
10,2024-01-01 00:00:00+00:00,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,2025-05-23 13:00:00+00:00,12037,168,168,44859.2957567064,58691.50446646512,6.257743820592634,0.948028841880652,random_forest
11,2024-01-01 00:00:00+00:00,2025-05-23 13:00:00+00:00,2025-05-23 14:00:00+00:00,2025-05-30 13:00:00+00:00,12205,168,168,34496.440041744994,44344.83816998102,6.358310922142279,0.9136457424305873,lasso
12,2024-01-01 00:00:00+00:00,2025-05-30 13:00:00+00:00,2025-05-30 14:00:00+00:00,2025-06-06 13:00:00+00:00,12373,168,168,50164.87554570547,65341.827506249894,6.843381460435458,0.9518971432496595,random_forest
13,2024-01-01 00:00:00+00:00,2025-06-06 13:00:00+00:00,2025-06-06 14:00:00+00:00,2025-06-13 13:00:00+00:00,12541,168,168,48262.07948517907,61499.32511610162,6.801946372424612,0.9194723664180947,ridge
14,2024-01-01 00:00:00+00:00,2025-06-13 13:00:00+00:00,2025-06-13 14:00:00+00:00,2025-06-20 13:00:00+00:00,12709,168,168,52169.698989983866,70179.67417679918,7.597507731305959,0.9364817821343601,gradient_boosting
15,2024-01-01 00:00:00+00:00,2025-06-20 13:00:00+00:00,2025-06-20 14:00:00+00:00,2025-06-27 13:00:00+00:00,12877,168,168,49723.65834456417,75459.12281915167,7.5561557871728064,0.8898477206922519,ridge
