dataset,check,model,configuration,mae,rmse,mape,r2,mae_change_pct
consumption,lag_1_dominance,ridge,with_lag_1,49238.98424344207,62605.071508635236,3.266581742070371,0.9489353442568585,0.0
consumption,lag_1_dominance,ridge,without_lag_1,67407.15664153697,92015.52993252788,4.4576575392282125,0.8896877761676701,36.89794311813945
consumption,lag_1_dominance,lasso,with_lag_1,49246.44946517321,62610.606550656106,3.265887228206695,0.9489263143970367,0.0
consumption,lag_1_dominance,lasso,without_lag_1,66617.17741662805,91444.82798618684,4.404168998458936,0.8910518973936195,35.27305651494594
consumption,lag_1_dominance,random_forest,with_lag_1,21117.868289146896,29643.688787889605,1.3942606551782042,0.9885510445104394,0.0
consumption,lag_1_dominance,random_forest,without_lag_1,49268.863751972254,76970.21711409932,3.213112027719758,0.9228125311394781,133.30415303940973
consumption,lag_1_dominance,gradient_boosting,with_lag_1,31447.185659883507,42510.22725418533,2.0723425968967946,0.9764555673428503,0.0
consumption,lag_1_dominance,gradient_boosting,without_lag_1,57155.43494788053,85196.52387007435,3.7898334622778607,0.9054317990380762,81.75055652370342
consumption,seasonal_baseline,seasonal_naive_lag_24,lag_24,102415.45760732985,153835.70663403743,6.846644477150751,0.6916700744299322,
consumption,seasonal_baseline,seasonal_naive_lag_168,lag_168,78562.4985967272,112753.34307844356,5.150804127875198,0.8343619034044538,
injection,lag_1_dominance,ridge,with_lag_1,55493.6530747789,74695.84369143224,6.161268552452165,0.9808464911432746,0.0
injection,lag_1_dominance,ridge,without_lag_1,259503.0779868848,333849.7569148888,31.745261206433433,0.6173888680377015,367.62659080525617
injection,lag_1_dominance,lasso,with_lag_1,55407.76519886892,74621.4958662074,6.152431477251081,0.9808846007077451,0.0
injection,lag_1_dominance,lasso,without_lag_1,256466.16446322555,330835.5168763331,31.17705066842442,0.6242666652094391,362.8704361973816
injection,lag_1_dominance,random_forest,with_lag_1,56943.402327224605,76556.84579171479,6.30271345663547,0.9798802056893958,0.0
injection,lag_1_dominance,random_forest,without_lag_1,270342.1634197194,351386.71441014565,34.39204037559683,0.5761363757083505,374.7559021257656
injection,lag_1_dominance,gradient_boosting,with_lag_1,56883.23543976595,75906.58664208066,6.472452613444586,0.9802205414913282,0.0
injection,lag_1_dominance,gradient_boosting,without_lag_1,264550.3525475357,336030.4976245453,33.52465513486365,0.612374032665493,365.0761344749278
injection,seasonal_baseline,seasonal_naive_lag_24,lag_24,439540.1003578728,586955.5714066159,52.43729945221608,-0.1826764022443763,
injection,seasonal_baseline,seasonal_naive_lag_168,lag_168,572268.5224170266,724210.0609367689,70.2587511666651,-0.8004645739636942,
