datetime,total,kmeans_cluster,dbscan_cluster
2025-01-01 00:00:00+00:00,1384737.9476015,1,8
2025-01-01 01:00:00+00:00,1337499.0152992501,2,-1
2025-01-01 02:00:00+00:00,1260351.18676525,2,0
2025-01-01 03:00:00+00:00,1185103.78250725,2,0
2025-01-01 04:00:00+00:00,1123952.20770525,2,0
2025-01-01 05:00:00+00:00,1090721.1370375,2,-1
2025-01-01 06:00:00+00:00,1081541.9642582498,2,-1
2025-01-01 07:00:00+00:00,1088660.64658825,2,1
2025-01-01 08:00:00+00:00,1083847.74656425,2,1
2025-01-01 09:00:00+00:00,1123276.70023375,2,1
2025-01-01 10:00:00+00:00,1203837.3276532502,2,1
2025-01-01 11:00:00+00:00,1286689.1404315,2,1
2025-01-01 12:00:00+00:00,1357329.477832,2,1
2025-01-01 13:00:00+00:00,1317413.3685677499,2,1
2025-01-01 14:00:00+00:00,1243163.4808965002,2,1
2025-01-01 15:00:00+00:00,1254216.20838025,2,-1
2025-01-01 16:00:00+00:00,1318207.74816625,2,-1
2025-01-01 17:00:00+00:00,1476562.35065275,2,-1
2025-01-01 18:00:00+00:00,1674527.620221,2,-1
2025-01-01 19:00:00+00:00,1756079.8816,2,-1
2025-01-01 20:00:00+00:00,1786646.913272,2,-1
2025-01-01 21:00:00+00:00,1740015.58581075,2,-1
2025-01-01 22:00:00+00:00,1636523.6498389998,2,-1
2025-01-01 23:00:00+00:00,1474420.89707625,2,-1
2025-01-02 00:00:00+00:00,1326127.61274675,2,0
2025-01-02 01:00:00+00:00,1215348.01764,2,0
2025-01-02 02:00:00+00:00,1138361.00502475,2,0
2025-01-02 03:00:00+00:00,1101539.1023355,2,0
2025-01-02 04:00:00+00:00,1086463.881284,2,0
2025-01-02 05:00:00+00:00,1106839.837675,2,0
2025-01-02 06:00:00+00:00,1192464.78714525,2,0
2025-01-02 07:00:00+00:00,1350190.37265875,2,0
2025-01-02 08:00:00+00:00,1549125.4760575,2,-1
2025-01-02 09:00:00+00:00,1709588.83164275,2,-1
