dataset,k,silhouette,inertia,calinski_harabasz,davies_bouldin
consumption,2,0.2506148812769436,79056.14836917832,5815.3933980912525,1.6215775707702316
consumption,3,0.2112326492753576,65810.14996430368,5258.017296807424,1.579955657129372
consumption,4,0.2262337086764333,57624.63336205829,4833.560681727209,1.4975039017553622
consumption,5,0.235464408243295,50225.91135928256,4804.864254394841,1.3674999045563412
consumption,6,0.2479480990632616,45052.90672954157,4687.746812443381,1.2666839582502876
consumption,7,0.240388722564535,41231.3455285552,4539.221109568411,1.2875668589468567
consumption,8,0.2384784780464515,38366.49991161023,4368.085451612023,1.2347004812185816
injection,2,0.2582691733627999,79660.05341148876,5638.268393238622,1.628426249254183
injection,3,0.166769614291173,69765.39496192528,4462.7084368428,1.8144012078613232
injection,4,0.176586860425459,62173.3121952188,4052.171369625101,1.743290673428235
injection,5,0.1705552808989426,56566.60435300647,3774.7832835733216,1.6186774069921648
injection,6,0.1695042178468367,52698.71711793925,3498.723792269959,1.507462016148472
injection,7,0.1657076321747189,49402.09654479232,3305.033896677999,1.5375289585776697
injection,8,0.1702775363124453,46747.971906194725,3135.785606862343,1.509543434968084
