dataset,column,method,outlier_count
gold_consumption,total,iqr,4
gold_consumption,bt,iqr,6
gold_consumption,mt,iqr,4
gold_consumption,at,iqr,183
gold_consumption,mat,iqr,93
gold_consumption,hour,iqr,0
gold_consumption,dayofweek,iqr,0
gold_consumption,month,iqr,0
gold_consumption,total_lag_1,iqr,4
gold_consumption,total_lag_24,iqr,4
gold_consumption,total_lag_168,iqr,4
gold_consumption,total_rollmean_24,iqr,0
gold_consumption,total_rollmean_168,iqr,176
gold_injection,total_injection,iqr,0
gold_injection,cogeracao,iqr,167
gold_injection,eolica,iqr,0
gold_injection,fotovoltaica,iqr,623
gold_injection,hidrica,iqr,274
gold_injection,outras_tecnologias,iqr,84
gold_injection,rede_dist,iqr,0
gold_injection,hour,iqr,0
gold_injection,dayofweek,iqr,0
gold_injection,month,iqr,0
gold_injection,total_injection_lag_1,iqr,0
gold_injection,total_injection_lag_24,iqr,0
gold_injection,total_injection_lag_168,iqr,0
gold_injection,total_injection_rollmean_24,iqr,0
gold_injection,total_injection_rollmean_168,iqr,0
gold_weather_hourly,station_id,iqr,0
gold_weather_hourly,temperatura,iqr,83
gold_weather_hourly,radiacao,iqr,32
gold_weather_hourly,precacumulada,iqr,88
gold_weather_hourly,intensidadeventokm,iqr,117
gold_weather_hourly,humidade,iqr,1
gold_weather_hourly,pressao,iqr,264
gold_weather_hourly,hdd_18,iqr,435
gold_weather_hourly,cdd_22,iqr,352
silver_production,dia,iqr,0
silver_production,mes,iqr,0
silver_production,ano,iqr,0
silver_production,dgm,iqr,0
silver_production,pre,iqr,0
silver_production,total,iqr,4
