dataset,horizon,scenario,model,mae,rmse,mape,r2,n_train,n_test,train_start,train_end,test_start,test_end,features
injection,1,seasonal_baseline,seasonal_naive,436381.3294508267,584391.5375223726,52.13445411548492,-0.17405200910013496,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,total_injection_daily_direct_h1
injection,1,with_lag1,ridge,101279.2808117804,134578.3728947546,11.729808985951133,0.9377192781946612,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
injection,1,with_lag1,lasso,101310.52999730916,134381.59882393555,11.744913874836667,0.9379012728405,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
injection,1,with_lag1,random_forest,103295.15014220445,137849.5612105154,11.834957773076912,0.9346547736190776,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
injection,1,with_lag1,gradient_boosting,102796.89310207867,136182.8052865876,12.080744602849261,0.9362254147249508,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
injection,1,without_lag1,ridge,266802.39151992335,342106.3981906956,34.130037007399,0.5975374412886755,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
injection,1,without_lag1,lasso,272503.2456957945,346380.0299548346,35.344386816302574,0.5874194203688554,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
injection,1,without_lag1,random_forest,287418.87610284245,371099.4776601393,37.617475166392026,0.5264304424233733,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
injection,1,without_lag1,gradient_boosting,274232.6987549295,345420.5116354101,36.018062368103664,0.5897020595064097,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
injection,1,calendar_seasonal,ridge,388439.5104493018,485149.81177058275,53.345638833585596,0.1906156081300603,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
